痢疾	痢疾
呕吐	呕吐
恶心	恶心
心慌	心慌
心悸	心悸
腹泻	腹泻
拉肚子	腹泻
拉稀	腹泻
感冒	感冒
流鼻涕	感冒
鼻涕	感冒
咳嗽	咳嗽
发烧	发烧
咳	咳嗽
呕吐	呕吐
吐	呕吐
全身	全身
浑身	全身
头部	头部
头	头部
脑袋	头部
后脑勺	头部
耳部	耳部
耳朵	耳部
耳	耳部
眼部	眼部
眼	眼部
眼睛	眼部
眼珠	眼部
鼻部	鼻部
鼻	鼻部
鼻子	鼻部
嘴部	嘴部
嘴巴	嘴部
嘴	嘴部
嗓子	喉部
面部	面部
脸	面部
面	面部
腮帮子	面部
下颌部	下颌部
下巴	下颌部
下颚	下颌部
颈部	颈部
脖子	颈部
肩部	肩部
肩	肩部
肩膀	肩部
臂部	臂部
大臂	臂部
小臂	臂部
手肘	臂部
肘	臂部
胳膊	臂部
手部	手部
手掌	手部
手指头	手部
指头	手部
手腕	手部
手指	手部
胸部	胸部
心	胸部
心脏	胸部
胸	胸部
胸口	胸部
腰部	腰部
腰	腰部
腹部	腹部
腹	腹部
胃部	腹部	
肚子	腹部
胃	腹部
背部	背部
背	背部
后背	背部
臀部	臀部
臀	臀部
屁股	臀部
腿部	腿部
腿	腿部
大腿	腿部
小腿	腿部
膝盖	腿部
足部	足部
脚	足部
脚趾	足部
脚腕	足部
脚指头	足部
足弓	足部	
不舒服	难受
不太舒服	难受
难受	难受
痛	痛
疼	痛
疼痛	痛
痒	痒
晕	晕
酸	酸
肿	肿
无力	无力
片	片
片儿	片
粒	粒
粒儿	粒
颗	颗
支	支
瓶	瓶
袋	袋
袋儿	袋
包	包
包儿	包
